system:index,All_pixels,Water_pixels,date,perc cloud,poly_area,time,.geo
20181218T052221_20181218T053013_T43PFP,64277700,51652600,2018-12-18,1.0,64277700,05-35-23,
20181223T052229_20181223T052554_T43PFP,49678000,33379500,2018-12-23,0.7728652394220702,64277700,05-35-28,
20181228T052221_20181228T052221_T43PFP,59773700,48947700,2018-12-28,0.9299290422650468,64277700,05-35-25,
20190102T052219_20190102T052400_T43PFP,64277700,51842700,2019-01-02,1.0,64277700,05-35-30,
20190107T052211_20190107T053012_T43PFP,64277700,51890500,2019-01-07,1.0,64277700,05-35-27,
20190117T052141_20190117T052141_T43PFP,64277700,51593400,2019-01-17,1.0,64277700,05-35-28,
20190122T052119_20190122T052703_T43PFP,63989500,51283200,2019-01-22,0.9955163299246862,64277700,05-35-32,
20190127T052101_20190127T052801_T43PFP,64166600,51464000,2019-01-27,0.9982715622992111,64277700,05-35-29,
20190201T052039_20190201T053112_T43PFP,61051100,49102700,2019-02-01,0.9498021864503553,64277700,05-35-32,
20190206T052011_20190206T052457_T43PFP,57426000,46439600,2019-02-06,0.893404711120653,64277700,05-35-29,
20190211T051939_20190211T052909_T43PFP,64016700,50741600,2019-02-11,0.9959394937902258,64277700,05-35-32,
20190216T051901_20190216T052953_T43PFP,64277700,50399000,2019-02-16,1.0,64277700,05-35-28,
20190221T051839_20190221T053339_T43PFP,64277700,49558900,2019-02-21,1.0,64277700,05-35-31,
20190226T051751_20190226T052941_T43PFP,64277700,49018500,2019-02-26,1.0,64277700,05-35-27,
20190303T051729_20190303T052812_T43PFP,64277700,48326400,2019-03-03,1.0,64277700,05-35-30,
20190308T051651_20190308T052854_T43PFP,64277600,47322600,2019-03-08,0.9999984442504943,64277700,05-35-26,
20190313T051649_20190313T053504_T43PFP,64277700,46567000,2019-03-13,1.0,64277700,05-35-29,
20190318T051651_20190318T053305_T43PFP,64277700,45661900,2019-03-18,1.0,64277700,05-35-29,
20190323T051649_20190323T053456_T43PFP,64277700,44268100,2019-03-23,1.0,64277700,05-35-32,
20190328T051651_20190328T052823_T43PFP,64274300,42746500,2019-03-28,0.9999471045168076,64277700,05-35-31,
20190402T051659_20190402T052808_T43PFP,64276100,37999400,2019-04-02,0.9999751080079095,64277700,05-35-35,
20190407T051651_20190407T053201_T43PFP,64250600,36910300,2019-04-07,0.999578391883966,64277700,05-35-33,
20190412T051659_20190412T052853_T43PFP,63112900,36359600,2019-04-12,0.9818786297580654,64277700,05-35-37,
20190417T051651_20190417T052149_T43PFP,63853200,37725900,2019-04-17,0.9933958433484708,64277700,05-35-35,
20190422T051659_20190422T053203_T43PFP,32002800,15994800,2019-04-22,0.4978834027975488,64277700,05-35-38,
20190427T051651_20190427T052356_T43PFP,62891300,35409300,2019-04-27,0.9784310888535215,64277700,05-35-35,
20190507T051651_20190507T053058_T43PFP,2999500,898100,2019-05-07,0.04666470642228954,64277700,05-35-36,
20190512T051659_20190512T053509_T43PFP,62102300,21944000,2019-05-12,0.9661562252538595,64277700,05-35-40,
20190517T051651_20190517T052226_T43PFP,47353400,26601500,2019-05-17,0.736700286413484,64277700,05-35-36,
20190522T051659_20190522T052814_T43PFP,64277600,33427100,2019-05-22,0.9999984442504943,64277700,05-35-41,
20190527T051651_20190527T053014_T43PFP,52161600,27644300,2019-05-27,0.8115038341446567,64277700,05-35-35,
