system:index,All_pixels,Water_pixels,date,perc cloud,poly_area,time,.geo
20200216T051909_20200216T052654_T43PEP,12184700,9569100,2020-02-16,1.0,12184700,05-35-31,
20200221T051831_20200221T052815_T43PEP,12184700,9570900,2020-02-21,1.0,12184700,05-35-30,
20200226T051759_20200226T053517_T43PEP,10183400,8135700,2020-02-26,0.8357530345433207,12184700,05-35-33,
20200307T051649_20200307T052727_T43PEP,9303800,7316200,2020-03-07,0.7635641419156811,12184700,05-35-33,
20200312T051651_20200312T052221_T43PEP,11606400,9296400,2020-03-12,0.9525388396924012,12184700,05-35-32,
20200317T051649_20200317T053052_T43PEP,12184700,9512900,2020-03-17,1.0,12184700,05-35-34,
20200322T051651_20200322T052349_T43PEP,12184600,9458300,2020-03-22,0.999991792986286,12184700,05-35-32,
20200327T051649_20200327T053349_T43PEP,100,0,2020-03-27,8.207013713919916E-6,12184700,05-35-33,
20200401T051651_20200401T053115_T43PEP,12184700,9280000,2020-04-01,1.0,12184700,05-35-32,
20200406T051649_20200406T053004_T43PEP,9512200,4396400,2020-04-06,0.7806675584954903,12184700,05-35-33,
20200411T051651_20200411T052138_T43PEP,12184700,9251100,2020-04-11,1.0,12184700,05-35-34,
20200416T051649_20200416T052428_T43PEP,12184600,9250500,2020-04-16,0.999991792986286,12184700,05-35-25,
20200416T051649_20200416T053521_T43PEP,2813300,9250500,2020-04-16,0.230887916813709,12184700,05-35-32,
20200501T051651_20200501T053108_T43PEP,12184700,9066700,2020-05-01,1.0,12184700,05-35-39,
20200526T051649_20200526T053453_T43PEP,12054300,9006200,2020-05-26,0.9892980541170484,12184700,05-35-37,
20200625T051659_20200625T053325_T43PEP,4193500,2935000,2020-06-25,0.3441611200932317,12184700,05-35-38,
20200720T051701_20200720T052357_T43PEP,2298700,2093100,2020-07-20,0.1886546242418771,12184700,05-35-41,
20200903T051659_20200903T053206_T43PEP,9753600,8963100,2020-09-03,0.8004792896008929,12184700,05-35-39,
20200923T051649_20200923T052705_T43PEP,0,0,2020-09-23,0.0,12184700,05-35-38,
20201018T051831_20201018T053446_T43PEP,1366900,1305600,2020-10-18,0.11218167045557133,12184700,05-35-41,
20201028T051931_20201028T053443_T43PEP,11771200,10623100,2020-10-28,0.9660639982929411,12184700,05-35-41,
20201102T051959_20201102T053219_T43PEP,1502000,1499900,2020-11-02,0.12326934598307714,12184700,05-35-38,
20201107T052021_20201107T053457_T43PEP,2981500,2921400,2020-11-07,0.24469211388052228,12184700,05-35-40,
20201112T052049_20201112T052711_T43PEP,9583600,8099000,2020-11-12,0.7865273662872291,12184700,05-35-37,
20201117T052111_20201117T053038_T43PEP,0,0,2020-11-17,0.0,12184700,05-35-39,
20201122T052119_20201122T052915_T43PEP,12184700,10539900,2020-11-22,1.0,12184700,05-35-36,
20201127T052151_20201127T053312_T43PEP,10691100,9069200,2020-11-27,0.8774200431688921,12184700,05-35-36,
20201202T052159_20201202T052946_T43PEP,12184700,9937800,2020-12-02,1.0,12184700,05-35-35,
20201207T052211_20201207T052714_T43PEP,0,0,2020-12-07,0.0,12184700,05-35-33,
20201212T052219_20201212T053123_T43PEP,11515400,8400700,2020-12-12,0.945070457212734,12184700,05-35-33,
20201222T052229_20201222T053137_T43PEP,12184700,7708500,2020-12-22,1.0,12184700,05-35-32,
20201227T052231_20201227T053122_T43PEP,12184700,7805100,2020-12-27,1.0,12184700,05-35-35,
20210101T052219_20210101T053416_T43PEP,1350300,562700,2021-01-01,0.11081930617906062,12184700,05-35-34,
20210106T052221_20210106T052812_T43PEP,0,0,2021-01-06,0.0,12184700,05-35-36,
20210116T052151_20210116T053233_T43PEP,8135400,5110400,2021-01-16,0.6676733936822409,12184700,05-35-36,
20210121T052119_20210121T052907_T43PEP,12184700,8099400,2021-01-21,1.0,12184700,05-35-35,
20210126T052111_20210126T052106_T43PEP,12184600,8153700,2021-01-26,0.999991792986286,12184700,05-35-36,
20210131T052039_20210131T053249_T43PEP,12184700,8104100,2021-01-31,1.0,12184700,05-35-35,
20210205T052011_20210205T053438_T43PEP,12059700,8114900,2021-02-05,0.9897412328576001,12184700,05-35-35,
20210210T051939_20210210T052401_T43PEP,12184700,8210100,2021-02-10,1.0,12184700,05-35-34,
20210215T051911_20210215T052634_T43PEP,12184700,8276500,2021-02-15,1.0,12184700,05-35-35,
20210220T051839_20210220T053312_T43PEP,886100,775700,2021-02-20,0.07272234851904437,12184700,05-35-33,
20210225T051801_20210225T053358_T43PEP,12182600,8335600,2021-02-25,0.9998276527120077,12184700,05-35-35,
20210302T051729_20210302T052733_T43PEP,12184700,8333900,2021-03-02,1.0,12184700,05-35-35,
20210307T051651_20210307T053320_T43PEP,12178100,8322900,2021-03-07,0.9994583370948813,12184700,05-35-35,
20210317T051651_20210317T053058_T43PEP,11750200,8012300,2021-03-17,0.964340525413018,12184700,05-35-35,
20210322T051649_20210322T052843_T43PEP,5856600,3652200,2021-03-22,0.4806519651694338,12184700,05-35-35,
20210327T051651_20210327T053454_T43PEP,12184700,8272900,2021-03-27,1.0,12184700,05-35-34,
20210401T051649_20210401T052647_T43PEP,12184700,8195000,2021-04-01,1.0,12184700,05-35-34,
